id,name,base_experience,height,weight,types,abilities,moves,stats,Generation,image_url,image_exists
1,bulbasaur,64,7,69,"grass, poison","overgrow, chlorophyll","razor-wind, swords-dance, cut, bind, vine-whip","hp=45, attack=49, defense=49, special-attack=65, special-defense=65, speed=45",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/1.png,True
2,ivysaur,142,10,130,"grass, poison","overgrow, chlorophyll","swords-dance, cut, bind, vine-whip, headbutt","hp=60, attack=62, defense=63, special-attack=80, special-defense=80, speed=60",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/2.png,True
3,venusaur,236,20,1000,"grass, poison","overgrow, chlorophyll","swords-dance, cut, bind, vine-whip, headbutt","hp=80, attack=82, defense=83, special-attack=100, special-defense=100, speed=80",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/3.png,True
4,charmander,62,6,85,fire,"blaze, solar-power","mega-punch, fire-punch, thunder-punch, scratch, swords-dance","hp=39, attack=52, defense=43, special-attack=60, special-defense=50, speed=65",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/4.png,True
5,charmeleon,142,11,190,fire,"blaze, solar-power","mega-punch, fire-punch, thunder-punch, scratch, swords-dance","hp=58, attack=64, defense=58, special-attack=80, special-defense=65, speed=80",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/5.png,True
6,charizard,240,17,905,"fire, flying","blaze, solar-power","mega-punch, fire-punch, thunder-punch, scratch, swords-dance","hp=78, attack=84, defense=78, special-attack=109, special-defense=85, speed=100",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/6.png,True
7,squirtle,63,5,90,water,"torrent, rain-dish","mega-punch, ice-punch, mega-kick, headbutt, tackle","hp=44, attack=48, defense=65, special-attack=50, special-defense=64, speed=43",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/7.png,True
8,wartortle,142,10,225,water,"torrent, rain-dish","mega-punch, ice-punch, mega-kick, headbutt, tackle","hp=59, attack=63, defense=80, special-attack=65, special-defense=80, speed=58",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/8.png,True
9,blastoise,239,16,855,water,"torrent, rain-dish","mega-punch, ice-punch, mega-kick, headbutt, tackle","hp=79, attack=83, defense=100, special-attack=85, special-defense=105, speed=78",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/9.png,True
10,caterpie,39,3,29,bug,"shield-dust, run-away","tackle, string-shot, snore, bug-bite, electroweb","hp=45, attack=30, defense=35, special-attack=20, special-defense=20, speed=45",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10.png,True
11,metapod,72,7,99,bug,shed-skin,"string-shot, harden, iron-defense, bug-bite, electroweb","hp=50, attack=20, defense=55, special-attack=25, special-defense=25, speed=30",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/11.png,True
12,butterfree,178,11,320,"bug, flying","compound-eyes, tinted-lens","razor-wind, gust, whirlwind, headbutt, tackle","hp=60, attack=45, defense=50, special-attack=90, special-defense=80, speed=70",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/12.png,True
