id,name,base_experience,height,weight,types,abilities,moves,stats,image_url,image,generation
1,bulbasaur,64,7,69,"grass, poison","overgrow, chlorophyll","razor-wind, swords-dance, cut, bind, vine-whip","hp=45, attack=49, defense=49, special-attack=65, special-defense=65, speed=45",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png,,1
2,ivysaur,142,10,130,"grass, poison","overgrow, chlorophyll","swords-dance, cut, bind, vine-whip, headbutt","hp=60, attack=62, defense=63, special-attack=80, special-defense=80, speed=60",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png,,1
3,venusaur,236,20,1000,"grass, poison","overgrow, chlorophyll","swords-dance, cut, bind, vine-whip, headbutt","hp=80, attack=82, defense=83, special-attack=100, special-defense=100, speed=80",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png,,1
4,charmander,62,6,85,fire,"blaze, solar-power","mega-punch, fire-punch, thunder-punch, scratch, swords-dance","hp=39, attack=52, defense=43, special-attack=60, special-defense=50, speed=65",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png,,1
5,charmeleon,142,11,190,fire,"blaze, solar-power","mega-punch, fire-punch, thunder-punch, scratch, swords-dance","hp=58, attack=64, defense=58, special-attack=80, special-defense=65, speed=80",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png,,1
6,charizard,240,17,905,"fire, flying","blaze, solar-power","mega-punch, fire-punch, thunder-punch, scratch, swords-dance","hp=78, attack=84, defense=78, special-attack=109, special-defense=85, speed=100",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png,,1
7,squirtle,63,5,90,water,"torrent, rain-dish","mega-punch, ice-punch, mega-kick, headbutt, tackle","hp=44, attack=48, defense=65, special-attack=50, special-defense=64, speed=43",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png,,1
8,wartortle,142,10,225,water,"torrent, rain-dish","mega-punch, ice-punch, mega-kick, headbutt, tackle","hp=59, attack=63, defense=80, special-attack=65, special-defense=80, speed=58",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png,,1
9,blastoise,239,16,855,water,"torrent, rain-dish","mega-punch, ice-punch, mega-kick, headbutt, tackle","hp=79, attack=83, defense=100, special-attack=85, special-defense=105, speed=78",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png,,1
10,caterpie,39,3,29,bug,"shield-dust, run-away","tackle, string-shot, snore, bug-bite, electroweb","hp=45, attack=30, defense=35, special-attack=20, special-defense=20, speed=45",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png,,1
11,metapod,72,7,99,bug,shed-skin,"string-shot, harden, iron-defense, bug-bite, electroweb","hp=50, attack=20, defense=55, special-attack=25, special-defense=25, speed=30",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png,,1
12,butterfree,178,11,320,"bug, flying","compound-eyes, tinted-lens","razor-wind, gust, whirlwind, headbutt, tackle","hp=60, attack=45, defense=50, special-attack=90, special-defense=80, speed=70",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png,,1
13,weedle,39,3,32,"bug, poison","shield-dust, run-away","poison-sting, string-shot, bug-bite, electroweb","hp=40, attack=35, defense=30, special-attack=20, special-defense=20, speed=50",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png,,1
14,kakuna,72,6,100,"bug, poison",shed-skin,"string-shot, harden, iron-defense, bug-bite, electroweb","hp=45, attack=25, defense=50, special-attack=25, special-defense=25, speed=35",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png,,1
15,beedrill,178,10,295,"bug, poison","swarm, sniper","swords-dance, cut, headbutt, fury-attack, take-down","hp=65, attack=90, defense=40, special-attack=45, special-defense=80, speed=75",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png,,1
16,pidgey,50,3,18,"normal, flying","keen-eye, tangled-feet, big-pecks","razor-wind, gust, wing-attack, whirlwind, fly","hp=40, attack=45, defense=40, special-attack=35, special-defense=35, speed=56",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png,,1
17,pidgeotto,122,11,300,"normal, flying","keen-eye, tangled-feet, big-pecks","razor-wind, gust, wing-attack, whirlwind, fly","hp=63, attack=60, defense=55, special-attack=50, special-defense=50, speed=71",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png,,1
18,pidgeot,216,15,395,"normal, flying","keen-eye, tangled-feet, big-pecks","razor-wind, gust, wing-attack, whirlwind, fly","hp=83, attack=80, defense=75, special-attack=70, special-defense=70, speed=101",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png,,1
19,rattata,51,3,35,normal,"run-away, guts, hustle","cut, headbutt, tackle, body-slam, take-down","hp=30, attack=56, defense=35, special-attack=25, special-defense=35, speed=72",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png,,1
20,raticate,145,7,185,normal,"run-away, guts, hustle","swords-dance, cut, headbutt, tackle, body-slam","hp=55, attack=81, defense=60, special-attack=50, special-defense=70, speed=97",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png,,1
21,spearow,52,3,20,"normal, flying","keen-eye, sniper","razor-wind, wing-attack, whirlwind, fly, headbutt","hp=40, attack=60, defense=30, special-attack=31, special-defense=31, speed=70",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png,,1
22,fearow,155,12,380,"normal, flying","keen-eye, sniper","razor-wind, wing-attack, whirlwind, fly, headbutt","hp=65, attack=90, defense=65, special-attack=61, special-defense=61, speed=100",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/22.png,,1
